file_name,sha256,source,redistributed
GSM4676454_J01145-L1_S3_L001_R1_001.tsv.gz,9D24D5DFC3C925BC516539BDFF03B50D308D917E58F69789BC690166E590CABD,GSE154650 processed per-patient file,NO
GSM4676455_J01146-L1_S33_L007_R1_001.tsv.gz,D03BF9DD5B0FF19D4574DC2A735495565525B33831CF80330DB38D689187C89F,GSE154650 processed per-patient file,NO
GSM4676456_J01147-L1_S8_L002_R1_001.tsv.gz,B027E5BB5A09858E2C8A1CC70CBAB4F443AC80EA208F0611BE26BC56F52E2610,GSE154650 processed per-patient file,NO
GSM4676457_J01148-L1_S14_L003_R1_001.tsv.gz,F171E50194A3CDFC9B51A4639C1A5AEEE8CD4123D3BDDE4DC6F3A712B239CF8E,GSE154650 processed per-patient file,NO
GSM4676458_J01149-L1_S24_L005_R1_001.tsv.gz,E319DFF29CD32363A1D8AB8EAC881D73F9BDB8ACB5ABBACE2CB38D07415C7D5B,GSE154650 processed per-patient file,NO
GSM4676459_J01150-L1_S30_L006_R1_001.tsv.gz,79B40ED6C3FE6E87D2655328645B8C1D0081CFDAD9DA3B2E99E638B26AB63B48,GSE154650 processed per-patient file,NO
GSM4676460_J01151-L1_S19_L004_R1_001.tsv.gz,BE6F685E15BEE5C90ADEF5455E944AC81C8B4D73DFABE2A890C88F221B5DE453,GSE154650 processed per-patient file,NO
GSM4676461_J01152-L1_S38_L008_R1_001.tsv.gz,381D4D2C9CED70A7A2487F60234E2E30B29D91513B0CD3CC527A23662DB9F1DD,GSE154650 processed per-patient file,NO
GSM4676462_J01153-L1_S4_L001_R1_001.tsv.gz,D6AD2BCD94BC6434886FC1A4CA1CDA1CB6F1AE0819CBC8D46DDC97404C556BA7,GSE154650 processed per-patient file,NO
GSM4676463_J01154-L1_S9_L002_R1_001.tsv.gz,2ADA1CFEC0E54132D4C80D9150B8858AF50DFD7DA4831149FE8C8EFEABDEFD0E,GSE154650 processed per-patient file,NO
GSM4676464_J01155-L1_S5_L001_R1_001.tsv.gz,C4554DCFA7531616418BEE2F0F9EBDF74C53E19D41B91A3F91661C16E218483B,GSE154650 processed per-patient file,NO
GSM4676465_J01156-L1_S20_L004_R1_001.tsv.gz,189EF3753BF498F2F76685947CC8EC575A5E0C5E58B74FB78280E5C780F831E0,GSE154650 processed per-patient file,NO
GSM4676466_J01157-L1_S34_L007_R1_001.tsv.gz,FE1870E60636EE6727EC9684E703CBCA4106051D1E23DEB76C29E240586137F1,GSE154650 processed per-patient file,NO
GSM4676467_J01158-L1_S15_L003_R1_001.tsv.gz,81C90C7D3F43ED3954408BEBA787369367BB4E97FB6D6AC819E1B69986554198,GSE154650 processed per-patient file,NO
GSM4676468_J01159-L1_S25_L005_R1_001.tsv.gz,B17255C43117D6630C0C15BC6F3229CEDBBABAE24261E98725850694792E2C5E,GSE154650 processed per-patient file,NO
GSM4676469_J01160-L1_S10_L002_R1_001.tsv.gz,0528BCDEB89C8505543DE70F040C11836A4426608C0E9BAB61099F26F92EEB24,GSE154650 processed per-patient file,NO
Homo_sapiens.GRCh38.100.gtf.gz,6DEAB14681C08EB4E6CFFAD4E9DED842CADAC76386ADDB3FCDA204E97ED93A37,Ensembl GRCh38 release 100,NO
miRBase_22.1_mature.decoded.fa,FAF47CC6A5FCAA1CE2132CFECEFFA7AD0FE7B193DAD5B3A4ACF4EE40C4FCCACD,miRBase 22.1,NO
miRBase_22.1_hairpin.decoded.fa,A2EF765BA83B8C32D2A07F631E87DCC06BA32E8D9D0F99D2D4A739AFDAFA1F2B,miRBase 22.1,NO
miRBase_22.1_miRNA.decoded.dead,449008B7EE9068F776BB362DFA9D0102635B4CA71F91CBA4E6D1FC8453BAB790,miRBase 22.1,NO
